year_month,sentiment,post_count,avg_score,avg_comments
2026-03,Neutral,6,1.8333333333333333,0.5
2026-03,Positive,4,1.0,0.25
2026-04,Neutral,115,24.869565217391305,3.5304347826086957
2026-04,Positive,33,2.212121212121212,1.5151515151515151
2026-04,Negative,9,1.2222222222222223,0.4444444444444444
